"","ML1","ML3","ML7","ML2","ML5","ML6","ML4"
"I1",0,0,0.56466238239374,0,0,0,0
"I2",0,0,0.599996292981606,0,0,0,0
"I3",0,0,0.541965534555096,0,0,0,0
"I4",0,0,0.488474788307672,0,0,0,0
"I5",0,0,0.409346065614937,0,0,0,0
"I6",0,0,0.489331835051745,0,0,0,0
"I7",0,0,0.540308899064086,0,0,0,0
"I8",0.323131941845933,0,0,0,0,0,0
"I9",0.744641805308282,0,0,0,0,0,0
"I10_r",-0.596644332956758,0,0,0,0,0,0
"I11",0,0,0.321947909396002,0,0,0.40171283177478,0
"I12",0.594761230557462,0,0.301113590914641,0,0,0,0
"I13",0.780820232236891,0,0,0,0,0,0
"I14",0,0.751263701595249,0,0,0,0,0
"I15",0,0,0,0.827136973012675,0,0,0
"I16_r",0,0,0,0,0.757923323599217,0,0
"I17",0,0,0,0,0,0,0.742576457452553
"I18",0,0,0,0.727811197246755,0,0,0
"I19",0,0,0,0,0.500722978928952,0,0
"I20_r",0,0,0,0,0.805272031167688,0,0
"I21",0,0.912544548358048,0,0,0,0,0
"I22_r",0,0,0,0,0.741331950655191,0,0
"I23",0,0,0,0,0,0,0.451970659683314
"I24",0,0,0,0,0,0,0.875719581019478
"I25",0,-0.81318600260923,0,0,0,0,0
"I27",0,0.66716889472602,0,0,0,0,0
"I28",0,0,0,0.930697078997263,0,0,0
"I29",0,0.747251905095559,0,0,0,0,0
"I30_r",0,0,0,0.667792439189581,0,0,0
"I31_r",0,0,0.327496283745506,0,0,0,0
"I32",0,0,0,0,0,-0.45904489408041,0
"I33",0,0,0,0,0,-0.676765626002713,0
"I34_r",0,0,0,0,0,0.500173670914856,0
"I35_r",0,0,0,0,0,0,0
"I36_r",0,0,0,0,0,0.431003866894001,0
"I37_r",0,0,-0.321375798933568,0,0,0,0
"I38_r",0.547952259463284,0,0,0,0,0,0
