"","ML2","ML3","ML7","ML5","ML4","ML6","ML1"
"I1",0.749,NA,NA,NA,NA,NA,NA
"I2",0.556,NA,NA,NA,NA,NA,NA
"I3",0.663,NA,NA,NA,NA,NA,NA
"I4",0.689,NA,NA,NA,NA,NA,NA
"I5",0.559,NA,NA,NA,NA,NA,NA
"I6",0.639,NA,NA,NA,NA,NA,NA
"I7",0.701,NA,NA,NA,NA,NA,NA
"I8",NA,NA,NA,NA,NA,NA,NA
"I9",0.635,NA,NA,NA,NA,NA,0.532
"I10_r",-0.682,NA,NA,NA,NA,NA,-0.43
"I11",0.579,NA,NA,NA,NA,0.365,NA
"I12",0.695,NA,NA,NA,NA,NA,0.402
"I13",0.376,NA,NA,NA,NA,NA,0.608
"I14",NA,0.745,NA,NA,NA,NA,NA
"I15",NA,0.306,0.784,NA,NA,NA,NA
"I16_r",NA,NA,NA,0.714,NA,NA,NA
"I17",NA,NA,NA,NA,0.702,NA,NA
"I18",NA,NA,0.718,NA,NA,NA,NA
"I19",NA,NA,NA,0.553,0.317,NA,NA
"I20_r",NA,NA,NA,0.744,NA,NA,NA
"I21",NA,0.858,NA,NA,NA,NA,NA
"I22_r",NA,NA,NA,0.701,NA,NA,NA
"I23",NA,NA,NA,0.361,0.466,NA,NA
"I24",NA,NA,NA,NA,0.814,NA,NA
"I25",NA,-0.736,NA,NA,NA,NA,NA
"I27",NA,0.694,NA,NA,NA,NA,NA
"I28",NA,NA,0.851,NA,NA,NA,NA
"I29",NA,0.781,0.317,NA,NA,NA,NA
"I30_r",NA,NA,0.631,NA,NA,NA,NA
"I31_r",0.571,NA,NA,NA,NA,NA,NA
"I32",-0.558,NA,NA,NA,NA,-0.427,NA
"I33",NA,NA,NA,NA,NA,-0.609,NA
"I34_r",0.49,NA,NA,NA,NA,0.462,NA
"I35_r",NA,NA,NA,NA,NA,NA,NA
"I36_r",0.343,NA,NA,NA,NA,0.403,NA
"I37_r",-0.432,NA,NA,NA,NA,NA,NA
"I38_r",0.541,NA,NA,NA,NA,NA,0.435
