Item,Stärkster_Faktor,Ladung
Item1,Faktor1,0.7461090337969367
Item2,Faktor1,0.5530970791781331
Item3,Faktor1,0.6608186805920759
Item4,Faktor1,0.702558174838869
Item5,Faktor1,0.5482869201995813
Item6,Faktor1,0.6642598370269971
Item7,Faktor1,0.6851283905478315
Item8,Faktor7,0.26763068622971387
Item9,Faktor1,0.6656058555711842
Item10,Faktor1,0.7028679417977532
Item11,Faktor1,0.5907091310841823
Item12,Faktor1,0.7134641492136471
Item13,Faktor7,0.6062007596577443
Item14,Faktor2,0.7362357219964243
Item15,Faktor3,0.7863376687774157
Item16,Faktor4,0.7069600157824931
Item17,Faktor5,0.6849019299664802
Item18,Faktor3,0.7454795084429932
Item19,Faktor4,0.5594707284895601
Item20,Faktor4,0.7414724595735486
Item21,Faktor2,0.8659077607416904
Item22,Faktor4,0.6988600243964896
Item23,Faktor5,0.49646393687727935
Item24,Faktor5,0.7712487539406179
Item25,Faktor2,0.7001573095078064
Item26,Faktor2,0.41336998962141525
Item27,Faktor2,0.7179403179335925
Item28,Faktor3,0.8402289478031425
Item29,Faktor2,0.794668744139325
Item30,Faktor3,0.617266224059282
Item31,Faktor1,0.5956894361867168
Item32,Faktor1,0.5683520318686569
Item33,Faktor6,0.6061555825096082
Item34,Faktor1,0.522393739072266
Item35,Faktor6,0.2813909796241046
Item36,Faktor6,0.4202560879719609
Item37,Faktor1,0.4405194744293446
Item38,Faktor1,0.5702495161047254
