Item;Faktor;Ladung_Englisch;Ladung_Deutsch;Differenz
I21;Factor2;-0.82;0.8659077607416904;1.6859077607416904
I29;Factor2;-0.81;0.794668744139325;1.604668744139325
I14;Factor2;-0.78;0.7362357219964243;1.5162357219964244
I27;Factor2;-0.69;0.7179403179335925;1.4079403179335923
I26;Factor2;-0.83;0.41336998962141525;1.2433699896214152
I17;Factor6;-0.8;0.11001675652050166;0.9100167565205017
I38;Factor7;-0.48;0.39858066214073146;0.8785806621407315
I9;Factor7;-0.37;0.5023006895532939;0.8723006895532939
I13;Factor7;-0.26;0.6062007596577443;0.8662007596577443
I15;Factor3;-0.05;0.7863376687774157;0.8363376687774158
I28;Factor3;0.01;0.8402289478031425;0.8302289478031425
I24;Factor6;-0.78;0.04092960712861396;0.820929607128614
I30;Factor5;0.94;0.16149280451527614;0.7785071954847238
I10;Factor7;-0.39;0.37917752131581167;0.7691775213158116
I33;Factor4;0.76;-0.006768635619380234;0.7667686356193802
I20;Factor4;0.01;0.7414724595735486;0.7314724595735486
I22;Factor4;-0.03;0.6988600243964896;0.7288600243964897
I16;Factor4;-0.01;0.7069600157824931;0.7169600157824931
I18;Factor5;0.92;0.20715125299215906;0.712848747007841
I33;Factor6;-0.08;0.6061555825096082;0.6861555825096082
I18;Factor3;0.07;0.7454795084429932;0.6754795084429932
I22;Factor3;0.82;0.16081153475161475;0.6591884652483853
I28;Factor5;0.81;0.15629278298764948;0.6537072170123506
I24;Factor5;0.12;0.7712487539406179;0.6512487539406179
I19;Factor4;-0.09;0.5594707284895601;0.6494707284895601
I15;Factor5;0.76;0.11511045872821861;0.6448895412717814
I34;Factor7;-0.45;0.1919791763824778;0.6419791763824778
I36;Factor6;-0.22;0.4202560879719609;0.6402560879719609
I20;Factor3;0.79;0.157228537424177;0.6327714625758231
I16;Factor3;0.79;0.16314284345133082;0.6268571565486692
I32;Factor1;-0.05;0.5683520318686569;0.618352031868657
I12;Factor7;-0.27;0.3482174810706363;0.6182174810706363
I17;Factor5;0.07;0.6849019299664802;0.6149019299664802
I35;Factor7;-0.65;-0.052072320811818444;0.5979276791881816
I23;Factor6;-0.53;0.06768857342164103;0.5976885734216411
I30;Factor3;0.02;0.617266224059282;0.597266224059282
I8;Factor2;-0.35;0.24164896629859928;0.5916489662985993
I33;Factor2;-0.25;0.3268003887266087;0.5768003887266087
I5;Factor4;0.7;0.13051902585884367;0.5694809741411563
I36;Factor7;-0.48;0.08268729872540828;0.5626872987254082
I32;Factor4;0.75;0.21223864555600364;0.5377613544439963
I3;Factor4;0.63;0.1156676821572188;0.5143323178427812
I32;Factor6;-0.06;0.4453901210864502;0.5053901210864502
I5;Factor2;-0.26;0.24080741041906148;0.5008074104190615
I38;Factor1;0.07;0.5702495161047254;0.5002495161047253
I33;Factor1;-0.19;0.3013704919587865;0.4913704919587865
I31;Factor7;-0.39;0.06916143206101347;0.45916143206101345
I15;Factor2;-0.14;0.30652820448173185;0.44652820448173186
I28;Factor2;-0.19;0.24218228545810622;0.4321822854581062
I25;Factor7;0.34;-0.07465225443763361;0.41465225443763365
I5;Factor1;0.15;0.5482869201995813;0.39828692019958123
I36;Factor1;-0.04;0.351212553492799;0.391212553492799
I37;Factor7;-0.39;-0.00040485999970080123;0.3895951400002992
I30;Factor1;-0.16;0.22821017102327334;0.3882101710232734
I31;Factor1;0.21;0.5956894361867168;0.3856894361867168
I34;Factor1;0.14;0.522393739072266;0.38239373907226604
I7;Factor7;-0.32;0.05870260597856736;0.37870260597856736
I23;Factor5;0.14;0.49646393687727935;0.35646393687727934
I19;Factor6;-0.33;0.01929504898103118;0.3492950489810312
I10;Factor2;-0.18;0.16793088536309464;0.34793088536309463
I8;Factor7;-0.08;0.26763068622971387;0.3476306862297139
I32;Factor7;-0.26;0.08618399977523789;0.3461839997752379
I38;Factor2;-0.09;0.2544757409562338;0.3444757409562338
I13;Factor2;-0.21;0.13439534604974582;0.3443953460497458
I34;Factor6;0.08;0.4240453386660848;0.3440453386660848
I3;Factor1;0.32;0.6608186805920759;0.34081868059207593
I11;Factor6;0.0;0.3387071085152829;0.3387071085152829
I8;Factor1;0.49;0.16247444945418957;0.32752555054581045
I10;Factor1;0.38;0.7028679417977532;0.32286794179775324
I22;Factor1;-0.11;0.2091535015420859;0.3191535015420859
I35;Factor6;-0.03;0.2813909796241046;0.31139097962410456
I9;Factor2;-0.17;0.13238839543280587;0.3023883954328059
I11;Factor5;0.29;-0.011901760286907018;0.301901760286907
I23;Factor4;0.06;0.360028361379553;0.300028361379553
I25;Factor6;0.29;0.004662943311539248;0.2853370566884607
I29;Factor3;0.03;0.31197061692287137;0.2819706169228714
I25;Factor2;0.42;0.7001573095078064;0.28015730950780643
I17;Factor3;0.02;0.2894248703936795;0.26942487039367946
I18;Factor4;-0.03;0.2355221803548297;0.26552218035482966
I4;Factor7;-0.14;0.12292973050028808;0.2629297305002881
I2;Factor5;-0.04;0.2191268173034267;0.2591268173034267
I27;Factor6;-0.02;0.2369959743905336;0.2569959743905336
I12;Factor1;0.46;0.7134641492136471;0.25346414921364707
I7;Factor6;-0.14;0.11255827476741333;0.2525582747674133
I12;Factor2;-0.12;0.13052190385248635;0.25052190385248635
I8;Factor4;-0.07;0.17699156504913016;0.24699156504913017
I24;Factor2;-0.12;0.12482739126227595;0.24482739126227593
I2;Factor7;0.09;-0.15025123311368468;0.24025123311368468
I2;Factor1;0.79;0.5530970791781331;0.23690292082186692
I5;Factor6;-0.01;0.22598857877632192;0.23598857877632193
I7;Factor1;0.45;0.6851283905478315;0.23512839054783147
I18;Factor2;0.01;0.24192781376605985;0.23192781376605984
I20;Factor6;-0.2;0.03034756671849682;0.23034756671849682
I28;Factor4;-0.06;0.1681944622491757;0.2281944622491757
I34;Factor5;0.21;-0.018105594991894496;0.22810559499189448
I15;Factor4;-0.07;0.15806590127722447;0.22806590127722448
I3;Factor3;-0.07;0.15717022718952958;0.2271702271895296
I11;Factor7;-0.15;0.07255693276979124;0.22255693276979122
I37;Factor4;-0.12;0.09908639767322823;0.21908639767322824
I34;Factor2;-0.03;0.1888878926097293;0.2188878926097293
I18;Factor1;-0.12;0.09202007984784714;0.21202007984784715
I26;Factor4;0.18;-0.03163785941228135;0.21163785941228136
I13;Factor3;0.04;0.24932621154115098;0.20932621154115097
I24;Factor4;0.01;0.21914314308715221;0.2091431430871522
I24;Factor3;-0.01;0.19133777355120246;0.20133777355120247
I31;Factor6;-0.01;0.18734021980011253;0.19734021980011254
I8;Factor3;0.06;0.25583582524323595;0.19583582524323595
I9;Factor1;0.47;0.6656058555711842;0.19560585557118426
I29;Factor6;-0.03;0.16544409451064096;0.19544409451064096
I4;Factor2;-0.11;0.0848295878808084;0.1948295878808084
I23;Factor2;-0.01;0.18074131525031897;0.19074131525031898
I27;Factor7;-0.06;0.12770090931130396;0.18770090931130395
I26;Factor6;-0.06;0.1265199180263324;0.1865199180263324
I16;Factor1;0.02;0.20644890310215774;0.18644890310215775
I20;Factor5;-0.09;0.09457793203738402;0.184577932037384
I19;Factor3;0.39;0.20578338221851736;0.18421661778148266
I3;Factor6;-0.07;0.11385936103940174;0.18385936103940176
I38;Factor6;0.04;0.2238080737920602;0.18380807379206018
I26;Factor5;-0.04;0.1413172884151842;0.1813172884151842
I1;Factor6;-0.15;0.028663980149758298;0.1786639801497583
I11;Factor2;-0.05;0.12733842833858125;0.17733842833858127
I19;Factor2;0.04;0.21680510914386658;0.17680510914386657
I31;Factor2;-0.05;0.12123103483693448;0.17123103483693447
I6;Factor3;-0.02;0.15061564849084247;0.17061564849084246
I34;Factor4;0.22;0.056053823636480773;0.1639461763635192
I27;Factor1;0.08;0.24259426239158635;0.16259426239158636
I1;Factor7;-0.05;0.11194972143269646;0.16194972143269648
I14;Factor3;0.09;0.25083818119547796;0.16083818119547796
I21;Factor1;-0.04;0.12071537985403061;0.16071537985403062
I19;Factor5;0.18;0.34015720830942686;0.16015720830942687
I1;Factor1;0.59;0.7461090337969367;0.15610903379693675
I21;Factor3;0.06;0.21607546425280594;0.15607546425280594
I19;Factor1;0.4;0.244060204834556;0.155939795165444
I31;Factor5;-0.05;0.10470197466682792;0.15470197466682792
I11;Factor3;-0.07;0.0837630683205183;0.1537630683205183
I13;Factor4;-0.01;0.1434247592468636;0.1534247592468636
I13;Factor1;0.56;0.41162964826300913;0.14837035173699092
I32;Factor3;0.03;0.1712989834951171;0.1412989834951171
I37;Factor1;0.3;0.4405194744293446;0.1405194744293446
I29;Factor1;0.05;0.19021913720983002;0.14021913720983004
I23;Factor7;0.19;0.05219891971733919;0.1378010802826608
I32;Factor2;-0.02;0.11638237115278334;0.13638237115278334
I38;Factor3;0.3;0.16392763392397852;0.13607236607602147
I6;Factor6;-0.1;0.0360376557926111;0.1360376557926111
I12;Factor3;0.16;0.02467348342457878;0.13532651657542122
I1;Factor2;-0.03;0.10342728325965772;0.13342728325965772
I15;Factor7;-0.01;0.12073696234901864;0.13073696234901863
I7;Factor5;0.02;0.14931991757191618;0.1293199175719162
I22;Factor2;-0.04;0.08809497771132112;0.1280949777113211
I24;Factor1;0.04;0.1670611213643749;0.1270611213643749
I16;Factor2;-0.03;0.09697346871226975;0.12697346871226975
I35;Factor1;0.11;0.23512152583470997;0.12512152583470998
I4;Factor1;0.58;0.702558174838869;0.122558174838869
I22;Factor7;-0.04;0.08166906870576282;0.12166906870576283
I16;Factor5;0.02;0.13997708522246535;0.11997708522246535
I18;Factor6;-0.11;0.00799370313418542;0.11799370313418542
I25;Factor4;0.27;0.1520299842761924;0.11797001572380761
I29;Factor5;0.16;0.043955832996849006;0.116044167003151
I33;Factor5;-0.02;0.09571524341242944;0.11571524341242945
I21;Factor6;-0.1;0.015076761796887191;0.1150767617968872
I5;Factor7;0.11;-0.0048910538000524;0.1148910538000524
I3;Factor2;-0.01;0.10307844230278693;0.11307844230278692
I17;Factor1;0.01;0.12281385873450981;0.11281385873450982
I9;Factor3;0.03;0.1413108960755335;0.11131089607553349
I33;Factor7;0.03;0.14054799112331937;0.11054799112331937
I17;Factor2;-0.03;0.07962999713055748;0.10962999713055747
I1;Factor5;0.13;0.023030218377032056;0.10696978162296794
I30;Factor7;-0.01;0.09453007583901078;0.10453007583901078
I16;Factor6;0.06;0.1643603694244267;0.1043603694244267
I10;Factor6;0.02;0.12275351910531714;0.10275351910531713
I15;Factor1;0.22;0.11732056527115105;0.10267943472884895
I6;Factor2;-0.01;0.09171018819662521;0.10171018819662521
I27;Factor4;0.2;0.09864979281247367;0.10135020718752634
I26;Factor3;-0.1;0.0006989752003076792;0.10069897520030768
I16;Factor7;-0.04;0.0604087487237884;0.10040874872378841
I25;Factor5;0.06;-0.036339315008959185;0.09633931500895918
I35;Factor2;0.15;0.05446375846953552;0.09553624153046447
I14;Factor4;0.07;0.16545079118716385;0.09545079118716385
I28;Factor6;-0.01;0.0849508856762356;0.0949508856762356
I30;Factor6;-0.08;0.013111432172604147;0.09311143217260415
I14;Factor6;-0.01;0.08250304072605562;0.09250304072605561
I20;Factor1;0.02;0.11096586965870212;0.09096586965870211
I36;Factor2;0.2;0.1095514301032401;0.09044856989675991
I30;Factor4;0.05;0.13934123563405099;0.08934123563405098
I30;Factor2;0.08;0.16804707199773866;0.08804707199773866
I27;Factor3;0.06;0.14780837247607836;0.08780837247607837
I4;Factor6;-0.04;0.046566581527147516;0.08656658152714752
I19;Factor7;0.21;0.12385114852971527;0.08614885147028473
I37;Factor2;0.01;0.09582607087767882;0.08582607087767882
I6;Factor1;0.75;0.6642598370269971;0.08574016297300291
I36;Factor4;0.31;0.2244266564895214;0.0855733435104786
I31;Factor3;0.24;0.1547925543579138;0.08520744564208618
I13;Factor6;0.01;0.09447346765244947;0.08447346765244948
I37;Factor3;0.14;0.05670832275611754;0.08329167724388248
I11;Factor1;0.51;0.5907091310841823;0.08070913108418232
I7;Factor4;0.23;0.1493634870772649;0.0806365129227351
I6;Factor7;-0.04;0.039798111607031006;0.07979811160703101
I38;Factor5;0.09;0.011616280524525837;0.07838371947547416
I24;Factor7;-0.02;0.05820899688487035;0.07820899688487035
I11;Factor4;0.19;0.11320136300980659;0.07679863699019342
I2;Factor2;0.02;-0.054790189115503866;0.07479018911550386
I2;Factor3;0.01;0.08168678978559998;0.07168678978559999
I36;Factor5;0.01;0.08070885229945682;0.07070885229945682
I5;Factor3;-0.08;-0.009858782922679148;0.07014121707732085
I17;Factor7;-0.03;0.039684162851529224;0.06968416285152923
I2;Factor6;-0.05;0.01853097564144104;0.06853097564144105
I26;Factor7;0.16;0.22786862699303573;0.06786862699303572
I28;Factor1;0.1;0.16648645828280462;0.06648645828280461
I21;Factor5;0.12;0.054124839347126905;0.06587516065287309
I27;Factor5;0.12;0.18577869236665429;0.06577869236665429
I14;Factor7;0.1;0.03435287594024792;0.0656471240597521
I20;Factor7;0.08;0.014647905817908488;0.06535209418209151
I31;Factor4;0.13;0.1944286733661049;0.06442867336610489
I17;Factor4;0.09;0.15328154013795744;0.06328154013795745
I12;Factor6;-0.01;0.0520808273382091;0.062080827338209105
I12;Factor5;0.18;0.11802244440261792;0.06197755559738208
I6;Factor4;0.02;0.08110754152993457;0.06110754152993457
I33;Factor3;0.14;0.08125749899660342;0.05874250100339659
I23;Factor1;0.28;0.2246644446615773;0.055335555338422715
I26;Factor1;0.06;0.004770899816669571;0.055229100183330423
I34;Factor3;0.14;0.08503035437085657;0.05496964562914344
I7;Factor3;-0.02;0.03492988487350582;0.05492988487350582
I20;Factor2;0.05;0.10356168207004197;0.05356168207004197
I3;Factor7;-0.06;-0.006533089354993792;0.05346691064500621
I29;Factor7;0.03;0.08344415364172653;0.05344415364172653
I9;Factor6;0.01;0.0631322057255392;0.05313220572553919
I10;Factor4;0.19;0.14086748670071916;0.04913251329928084
I9;Factor5;0.07;0.021172516571270034;0.04882748342872997
I13;Factor5;0.05;0.09881716838079374;0.04881716838079374
I14;Factor1;0.11;0.15590672987016888;0.045906729870168875
I18;Factor7;0.03;0.07435012847537593;0.044350128475375936
I1;Factor4;0.17;0.12601259751870467;0.043987402481295346
I37;Factor6;0.05;0.09271890088803908;0.04271890088803908
I8;Factor5;0.11;0.07282397626211855;0.03717602373788145
I12;Factor4;0.08;0.1166857215278115;0.03668572152781149
I25;Factor3;0.1;0.13621373045886956;0.03621373045886955
I36;Factor3;0.15;0.1148093518950761;0.035190648104923894
I35;Factor4;0.07;0.10480067827935535;0.034800678279355346
I22;Factor5;0.1;0.1346371775823976;0.034637177582397594
I23;Factor3;0.16;0.12554739636845275;0.03445260363154726
I28;Factor7;-0.01;0.023311720810526248;0.033311720810526246
I7;Factor2;0.03;0.061990373095616065;0.031990373095616066
I14;Factor5;0.12;0.08984109690590024;0.030158903094099757
I25;Factor1;0.18;0.15197664317046575;0.028023356829534246
I6;Factor5;0.07;0.04204786785363215;0.02795213214636786
I4;Factor3;0.16;0.13444698134745503;0.025553018652544973
I21;Factor7;0.03;0.053692640145988506;0.023692640145988507
I21;Factor4;0.07;0.09175286926579793;0.02175286926579792
I22;Factor6;0.07;0.09094715608150608;0.020947156081506074
I4;Factor5;0.12;0.1379229886113323;0.01792298861133229
I32;Factor5;0.0;0.01712432484267977;0.01712432484267977
I2;Factor4;0.01;-0.0018760425208993298;0.01187604252089933
I8;Factor6;0.07;0.058473162776233815;0.011526837223766191
I29;Factor4;0.08;0.09133374516118409;0.011333745161184086
I15;Factor6;0.08;0.09119742900763811;0.011197429007638107
I35;Factor5;0.1;0.0889699620727349;0.011030037927265104
I9;Factor4;0.12;0.10936981961377158;0.010630180386228413
I5;Factor5;0.07;0.06135292291897365;0.008647077081026355
I1;Factor3;0.02;0.026752929465894793;0.006752929465894793
I38;Factor4;0.16;0.1644781692361328;0.004478169236132784
I35;Factor3;-0.04;-0.036198789920380406;0.003801210079619595
I4;Factor4;0.02;0.023679200314881937;0.003679200314881937
I37;Factor5;0.03;0.027331854521395443;0.0026681454786045555
I10;Factor5;0.08;0.08243908180897741;0.0024390818089774086
I10;Factor3;0.15;0.1515302846251728;0.0015302846251727953
I3;Factor5;0.08;0.07865662984490375;0.0013433701550962518
